name,ingredients,method
Bhaji frittata,"[{""""ing_group"""":""2 tbsp vegetable oil""},{""""ing_group"""":""2 onions , thinly sliced""},{""""ing_group"""":""1 garlic clove , finely chopped""},{""""ing_group"""":""2 tsp mild  curry powder""},{""""ing_group"""":""450g potato , coarsely grated and any excess liquid squeezed out""},{""""ing_group"""":""6 medium eggs , beaten""},{""""ing_group"""":""100g frozen pea""},{""""ing_group"""":""small pack  coriander , roughly chopped""},{""""ing_group"""":""mango chutney, natural yogurt and naan bread , to serve (optional)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Heat the oil in an ovenproof frying pan and fry the onion for about 10 mins over a medium heat until golden. Add the garlic and curry powder and cook for 1-2 mins.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Next, add the grated potatoes and cook for 5-8 mins, stirring occasionally. You want the potatoes to soften, but also catch a little and turn golden in patches. Season the eggs, then pour into the pan with the peas and most of the coriander, swirling to coat the potato mixture. Cook for 1 min more, then transfer to the oven for 10 mins until the eggs have set. Sprinkle with the remaining coriander and serve with mango chutney, natural yogurt and naan bread, if you like.""}]"
Udon noodle soup,"[{""""ing_group"""":""1 vegetable stock cube""},{""""ing_group"""":""50ml teriyaki sauce""},{""""ing_group"""":""1 tbsp vegetable oil""},{""""ing_group"""":""140g chestnut mushroom , sliced""},{""""ing_group"""":""½ bunch spring onions , thinly sliced""},{""""ing_group"""":""140g udon noodle""},{""""ing_group"""":""200g bag spinach""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""In a large pan, dissolve the stock cube in 1 litre of water and stir in the teriyaki sauce. While the soup base comes to the boil, heat the oil in a frying pan and cook the mushrooms over a high heat, for 2-3 mins, until they turn golden. Add the spring onions and cook for 1 min more, then set aside.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Once the soup base has come to the boil, add the noodles and cook for 4 mins. Add the spinach and cook for 1 min more until just wilted. Stir in the mushrooms, spring onions and some seasoning, and serve.""}]"
Swede gnocchi with crispy sage,"[{""""ing_group"""":""400g floury potatoes , such as King Edwards""},{""""ing_group"""":""600g swede , peeled""},{""""ing_group"""":""4 tbsp olive oil""},{""""ing_group"""":""1 tsp chilli flakes""},{""""ing_group"""":""100g '00' flour , plus extra for dusting""},{""""ing_group"""":""30g parmesan (or vegetarian alternative), grated, plus extra to serve""},{""""ing_group"""":""100g butter""},{""""ing_group"""":""small pack sage  leaves picked""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 220C/200C fan/gas 7. Cut the potato and swede into equal- sized chunks, drizzle with 2 tbsp of the oil, season and roast for 50 mins or until completely soft. Leave to cool slightly, then pulse in a food processor until broken down. Add the chilli flakes, flour, Parmesan and some seasoning, then pulse again to form a sticky dough.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Bring a large pan of salted water to the boil in which to cook your gnocchi later. Flour your hands and divide the dough in three. On a floured surface, roll each portion into a sausage about 1cm in diameter. Using the back of a table knife, cut into pieces 2.5cm in length – this gives a tapered edge to the pieces of gnocchi.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Working in batches, cook the gnocchi in the water for 30 secs or until they rise to the surface. Remove with a slotted spoon and drain on a tray lined with kitchen paper. Can be made to this stage up to 4 hrs ahead and kept in the fridge.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Turn the oven to its lowest setting and heat the remaining oil in a large frying pan over a medium heat. Fry the gnocchi in batches for 2 mins on each side until browned, then keep warm in the oven.""},{""""meth_group"""":""STEP 5""},{""""meth_group"""":""Melt the butter in the pan, add the sage leaves and fry until crisp. Divide the gnocchi between bowls then spoon over the crisped sage and buttery sauce. Serve with pepper and grated Parmesan.""}]"
Scandi meatballs,"[{""""ing_group"""":""1 tbsp vegetable oil""},{""""ing_group"""":""12 beef meatballs""},{""""ing_group"""":""1 onion , finely chopped""},{""""ing_group"""":""1 garlic clove , finely chopped""},{""""ing_group"""":""294g can condensed mushroom soup""},{""""ing_group"""":""½ x small pack dill , roughly chopped""},{""""ing_group"""":""2 tsp mustard - French, wholegrain, or whatever you have in your cupboard""},{""""ing_group"""":""mashed potato and cooked cabbage , to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the oil in a large lidded pan. Cook the meatballs for 3-4 mins over a medium heat, turning often so that they brown all over. Remove from the pan with a slotted spoon and drain away any excess oil, reserving about 1 tbsp.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Add the onion and garlic to the pan and cook for 4-5 mins, stirring to soften. Stir in the soup with half a can of water. Return the meatballs to the pan and bring to the boil. Turn down the heat, cover and simmer for a further 10-15 mins until the meatballs are cooked through. Stir in the dill, mustard and some seasoning. Serve with mashed potato and cabbage.""}]"
One-pot chicken & mushroom risotto,"[{""""ing_group"""":""60g butter""},{""""ing_group"""":""1 large onion, finely chopped""},{""""ing_group"""":""2 thyme sprigs, leaves picked""},{""""ing_group"""":""250g pack chestnut mushrooms, sliced""},{""""ing_group"""":""300g risotto rice""},{""""ing_group"""":""1½l hot chicken stock""},{""""ing_group"""":""200g cooked chicken, chopped into chunks""},{""""ing_group"""":""50g grated parmesan, plus extra to serve (optional)""},{""""ing_group"""":""small pack parsley, finely chopped""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the butter in a large pan over a gentle heat and add the onion. Cook for 10 mins until softened, then stir in the thyme leaves and mushrooms. Cook for 5 mins, sprinkle in the rice and stir to coat in the mixture.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Ladle in a quarter of the stock and continue cooking, stirring occasionally and topping up with more stock as it absorbs (you may not need all the stock).""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""When most of the stock has been absorbed and the rice is nearly cooked, add the chicken and stir to warm through. Season well and stir in the parmesan and parsley. Serve scattered with extra parmesan, if you like.""}]"
Jacket potato with whipped feta & sumac,"[{""""ing_group"""":""1 baking potato""},{""""ing_group"""":""2 tsp olive oil""},{""""ing_group"""":""½ tsp garlic salt""},{""""ing_group"""":""50g feta""},{""""ing_group"""":""50g Greek yogurt""},{""""ing_group"""":""1 roasted red peppers from a jar (about 25g), finely chopped""},{""""ing_group"""":""½ tsp sumac""},{""""ing_group"""":""few basil leaves , to serve (optional)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 220C/200C fan/ gas 6. Prick the potato all over with a fork and bake for 1 hr until it is golden outside and soft inside. Mix 1 tsp olive oil with the garlic salt. Cut a deep cross into the top of the jacket, drizzle the garlic oil into the cross and rub it all over the outside. Return to the oven and bake for 15 mins more until the edges are golden and crispy.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Meanwhile, crumble the feta into a bowl, add the yogurt and whisk together until creamy. Stir in the red pepper with a good grind of black pepper and spoon the whipped feta into the jacket. Sprinkle with the sumac, drizzle over the remaining 1 tsp olive oil and scatter a few torn basil leaves on top, if you like.""}]"
Macaroni cheese with bacon & pine nuts,"[{""""ing_group"""":""50g pine nuts""},{""""ing_group"""":""4 slices pancetta or bacon, chopped""},{""""ing_group"""":""400g macaroni or other short pasta""},{""""ing_group"""":""300ml pot double cream""},{""""ing_group"""":""200ml pot crème fraîche""},{""""ing_group"""":""200g gruyère or mature cheddar, grated""},{""""ing_group"""":""2 tsp Dijon mustard""},{""""ing_group"""":""green salad , to serve (optional)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Put the pine nuts in a dry frying pan, gently toast for 2-3 mins, then tip onto a plate. In the same pan, add the pancetta or bacon and cook for a few mins until crisp.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Bring a large pan of salted water to the boil and cook the pasta following pack instructions until al dente. Drain, reserving a ladleful of the pasta cooking water for later.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Meanwhile, put the double cream, crème fraîche and half the cheese in a saucepan, stir together and gently warm through until the cheese has melted. Take off the heat, stir in the mustard and some seasoning to taste.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Tip the drained pasta into a large baking dish and stir in the cheese sauce, adding some of the pasta cooking water if it looks a little dry. Sprinkle the toasted pine nuts and cooked pancetta over the top, then scatter over the remaining cheese. Bake for 20 mins until the top is golden and bubbling, then serve with a salad, if you like.""}]"
"Courgette, sausage & rigatoni bakes","[{""""ing_group"""":""1 tbsp olive oil""},{""""ing_group"""":""4 good-quality  pork sausages""},{""""ing_group"""":""2 courgettes , sliced on the diagonal then chopped into batons""},{""""ing_group"""":""3 garlic cloves , finely sliced""},{""""ing_group"""":""pinch of  chilli flakes""},{""""ing_group"""":""400g can  chopped tomato""},{""""ing_group"""":""200g rigatoni""},{""""ing_group"""":""½ x 150g ball mozzarella , patted dry and torn into chunks""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the oil in a large frying pan. Squeeze the sausagemeat out of the skins, breaking it into little chunks, and pop in the pan. Fry for 8 mins until golden and cooked through. Tip in the courgettes, garlic and a pinch of chilli flakes. Fry for a few mins until just tender. Pour over the chopped tomatoes, season and bubble down for 5 mins or so, adding a splash of water if it’s looking too thick.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Meanwhile, cook the pasta following pack instructions. Drain and stir through the sauce and spoon everything into 2 small flameproof dishes.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Heat the grill to high. Dot the cheese on top of the sausage dishes, then place under the grill until the cheese is golden and bubbling (about 5-10 mins), and serve.""}]"
Pilchard puttanesca,"[{""""ing_group"""":""300g spaghetti""},{""""ing_group"""":""1 tbsp olive oil""},{""""ing_group"""":""1 onion , finely chopped""},{""""ing_group"""":""2 garlic cloves , crushed""},{""""ing_group"""":""1 red chilli , deseeded and finely chopped""},{""""ing_group"""":""1 tbsp tomato purée""},{""""ing_group"""":""425g can  pilchard in tomato sauce""},{""""ing_group"""":""70g pack dried  black olive with herbs (we used Crespo), roughly chopped""},{""""ing_group"""":""shaved parmesan , to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Cook the pasta following pack instructions. Heat the oil in a non-stick frying pan and cook the onion, garlic and chilli for 3-4 mins to soften. Stir in the tomato purée and cook for 1 min, then add the pilchards with their sauce. Cook, breaking up the fish with a wooden spoon, then add the olives and continue to cook for a few more mins.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Drain the pasta and add to the pan with 2-3 tbsp of the cooking water. Toss everything together well, then divide between plates and serve, scattered with Parmesan.""}]"
Chorizo & rosemary pearl barley risotto,"[{""""ing_group"""":""225 chorizo ring, sliced""},{""""ing_group"""":""1 onion, finely chopped""},{""""ing_group"""":""1 garlic clove, finely chopped""},{""""ing_group"""":""300g pearl barley""},{""""ing_group"""":""400g can chopped tomato with sliced olives""},{""""ing_group"""":""1l hot chicken stock, made with 1 stock cube""},{""""ing_group"""":""2 stalks rosemary, leaves chopped""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat a non-stick frying pan over a medium heat and fry the chorizo for 3-4 mins until it turns golden and releases its oil. Remove with a slotted spoon and set aside.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Add the onion and garlic to the pan, and cook for 3-4 mins, until they begin to soften. Add the pearl barley and stir well to coat in the oil, before tipping in the chopped tomatoes and the chicken stock. Bring just to the boil, then turn down to a simmer and cook for 30 mins, stirring occasionally, until all the liquid has been absorbed and the pearl barley is tender. You may need to top up with a little extra water as you go.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Season and stir in the rosemary and chorizo to serve.""}]"
Super smoky bacon & tomato spaghetti,"[{""""ing_group"""":""400g spaghetti""},{""""ing_group"""":""1 tbsp olive oil""},{""""ing_group"""":""120g smoked streaky bacon, sliced into matchsticks""},{""""ing_group"""":""1 onion, finely chopped""},{""""ing_group"""":""1 garlic clove, finely chopped""},{""""ing_group"""":""2 tsp sweet smoked paprika""},{""""ing_group"""":""2 x 400g cans chopped tomatoes""},{""""ing_group"""":""grated parmesan, to serve (optional)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Bring a large pan of water to the boil and cook the spaghetti following pack instructions. Meanwhile, heat the oil in a large non-stick frying pan and cook the bacon for 3-4 mins until just starting to crisp. Stir in the onion and cook for another 3-4 mins, then add the garlic and smoked paprika, and cook for 1 min more.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Pour in the chopped tomatoes, bring to the boil and bubble for about 5 mins until thickened, stirring every so often to stop it catching on the bottom. Drain the pasta and toss with the sauce. Serve with Parmesan, if you like.""}]"
Creamy tarragon chicken & potato bake,"[{""""ing_group"""":""60g unsalted butter""},{""""ing_group"""":""6 skinless boneless chicken thighs, cut into bite-sized pieces""},{""""ing_group"""":""80g smoked pancetta, cut into small pieces""},{""""ing_group"""":""2 large onions, sliced""},{""""ing_group"""":""40g plain flour""},{""""ing_group"""":""500ml chicken stock""},{""""ing_group"""":""3 tbsp finely chopped tarragon""},{""""ing_group"""":""2-3 tbsp wholegrain mustard""},{""""ing_group"""":""4 tbsp double cream""},{""""ing_group"""":""2 x 450g packs fresh prepared mashed potato""},{""""ing_group"""":""drizzle of olive oil""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Melt 20g of the butter in a flameproof casserole dish over a medium heat. Season the chicken and add to the dish with the pancetta. Fry for 5 mins until the pancetta is crispy and the chicken browned and cooked through. Set aside in a bowl.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Lower the heat, add the remaining butter and, when it starts foaming, add the onions. Cook for 10 mins until softened, then stir through the flour and cook for another 2 mins. Remove from the heat and slowly whisk in the chicken stock. Return to the hob, bring to the boil and cook for 5 mins. Stir through the tarragon, mustard and cream, followed by the chicken and pancetta, and cook for another 5 mins until the sauce is thickened.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Heat the grill to high. Heat the mashed potato following pack instructions, then spoon on top of the chicken filling in the casserole dish. Smooth and swirl the potato over right to the edges, drizzle with a little olive oil and put under the grill for 8-10 mins or until the top is golden and bubbling.""}]"
